"Name","Live Bytes","Live Objects"
"org.apache.tomcat.util.collections.SynchronizedStack","128 B (0%)","4 (0%)"
"org.springframework.web.servlet.view.AbstractCachingViewResolver$2","128 B (0%)","2 (0%)"
"org.thymeleaf.cache.StandardCache","128 B (0%)","2 (0%)"
"org.hibernate.internal.SessionFactoryImpl","128 B (0%)","1 (0%)"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata","120 B (0%)","3 (0%)"
"org.springframework.core.convert.support.ArrayToArrayConverter","120 B (0%)","5 (0%)"
"jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer","120 B (0%)","3 (0%)"
"org.springframework.boot.ansi.AnsiStyle","120 B (0%)","5 (0%)"
"org.springframework.web.servlet.DispatcherServlet","120 B (0%)","1 (0%)"
"org.thymeleaf.standard.processor.AbstractStandardMultipleAttributeModifierTagProcessor$ModificationType","120 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardInlineEnablementTemplateBoundariesProcessor","120 B (0%)","5 (0%)"
"java.time.format.SignStyle","120 B (0%)","5 (0%)"
"org.hibernate.CacheMode","120 B (0%)","5 (0%)"
"com.sun.org.apache.xalan.internal.utils.FeaturePropertyBase$State","120 B (0%)","5 (0%)"
"javax.servlet.http.MappingMatch","120 B (0%)","5 (0%)"
"org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver$NamespaceSchemaMapping","120 B (0%)","5 (0%)"
"org.thymeleaf.engine.AttributeNames$AttributeNamesRepository","120 B (0%)","3 (0%)"
"javax.servlet.DispatcherType","120 B (0%)","5 (0%)"
"org.hibernate.tuple.entity.PojoEntityInstantiator","120 B (0%)","3 (0%)"
"org.springframework.data.jpa.repository.support.JpaMetamodelEntityInformation","120 B (0%)","3 (0%)"
"org.apache.tomcat.util.threads.InlineExecutorService","120 B (0%)","5 (0%)"
"org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver$DtdMapping","120 B (0%)","5 (0%)"
"java.net.Socket$SocketInputStream","120 B (0%)","5 (0%)"
"org.hibernate.tuple.PropertyFactory$NonIdentifierAttributeNature","120 B (0%)","5 (0%)"
"java.lang.WeakPairMap$Pair$Weak","120 B (0%)","3 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$State","120 B (0%)","5 (0%)"
"org.hibernate.sql.JoinType","120 B (0%)","5 (0%)"
"jdk.net.ExtendedSocketOptions$ExtSocketOption","120 B (0%)","5 (0%)"
"javax.persistence.SharedCacheMode","120 B (0%)","5 (0%)"
"org.springframework.http.converter.xml.Jaxb2RootElementHttpMessageConverter","120 B (0%)","3 (0%)"
"org.thymeleaf.engine.HTMLElementType","120 B (0%)","5 (0%)"
"java.lang.invoke.LambdaForm$BasicType[]","120 B (0%)","3 (0%)"
"com.fasterxml.jackson.databind.introspect.SimpleMixInResolver","120 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardInlineTextualTagProcessor","120 B (0%)","3 (0%)"
"org.springframework.transaction.annotation.Isolation","120 B (0%)","5 (0%)"
"org.thymeleaf.engine.ElementNames$ElementNamesRepository","120 B (0%)","3 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor","120 B (0%)","3 (0%)"
"javax.management.NotificationBroadcasterSupport","120 B (0%)","5 (0%)"
"java.lang.module.Configuration","120 B (0%)","3 (0%)"
"org.springframework.context.annotation.FilterType","120 B (0%)","5 (0%)"
"org.springframework.beans.CachedIntrospectionResults","120 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.PropertyMetadata","120 B (0%)","3 (0%)"
"com.fasterxml.jackson.databind.ser.SerializerCache","120 B (0%)","5 (0%)"
"sun.rmi.transport.WeakRef","120 B (0%)","3 (0%)"
"com.fasterxml.jackson.databind.deser.DeserializerCache","120 B (0%)","5 (0%)"
"java.lang.reflect.ProxyGenerator$ProxyMethod","120 B (0%)","3 (0%)"
"org.springframework.beans.TypeConverterDelegate","120 B (0%)","5 (0%)"
"net.bytebuddy.description.modifier.TypeManifestation","120 B (0%)","5 (0%)"
"org.springframework.core.annotation.MergedAnnotations$SearchStrategy","120 B (0%)","5 (0%)"
"org.hibernate.tuple.entity.BytecodeEnhancementMetadataPojoImpl","120 B (0%)","3 (0%)"
"java.util.stream.StreamOpFlag$Type","120 B (0%)","5 (0%)"
"org.unbescape.html.HtmlEscapeLevel","120 B (0%)","5 (0%)"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler","120 B (0%)","3 (0%)"
"org.hibernate.annotations.CacheConcurrencyStrategy","120 B (0%)","5 (0%)"
"org.apache.tomcat.util.buf.UDecoder$DecodeException","120 B (0%)","3 (0%)"
"com.fasterxml.jackson.core.util.DefaultIndenter","120 B (0%)","5 (0%)"
"org.springframework.http.HttpMethod[]","120 B (0%)","3 (0%)"
"java.util.regex.Pattern$$Lambda$619.0x0000000800e67068","120 B (0%)","5 (0%)"
"com.fasterxml.jackson.annotation.Nulls","120 B (0%)","5 (0%)"
"java.util.regex.Pattern$StartS","120 B (0%)","5 (0%)"
"net.bytebuddy.description.annotation.AnnotationDescription$ForLoadedAnnotation","120 B (0%)","5 (0%)"
"jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer","120 B (0%)","5 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor","120 B (0%)","3 (0%)"
"org.hibernate.dialect.Database[]","120 B (0%)","1 (0%)"
"java.lang.NamedPackage","120 B (0%)","5 (0%)"
"org.springframework.http.HttpStatus$Series","120 B (0%)","5 (0%)"
"org.hibernate.persister.entity.BasicEntityPropertyMapping","120 B (0%)","3 (0%)"
"org.thymeleaf.standard.processor.StandardInliningTextProcessor","120 B (0%)","5 (0%)"
"ch.qos.logback.core.subst.Token$Type","120 B (0%)","5 (0%)"
"ch.qos.logback.core.pattern.parser.TokenStream$TokenizerState","120 B (0%)","5 (0%)"
"jdk.xml.internal.JdkXmlFeatures$State","120 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.module.SimpleDeserializers","120 B (0%)","5 (0%)"
"org.apache.catalina.connector.CoyoteReader","112 B (0%)","2 (0%)"
"org.springframework.core.StandardReflectionParameterNameDiscoverer","112 B (0%)","7 (0%)"
"org.springframework.boot.autoconfigure.cache.CacheType[]","112 B (0%)","2 (0%)"
"jdk.internal.loader.ClassLoaders$AppClassLoader","112 B (0%)","1 (0%)"
"sun.security.provider.SHA","112 B (0%)","2 (0%)"
"org.hibernate.tuple.NonIdentifierAttribute[]","112 B (0%)","3 (0%)"
"sun.reflect.generics.tree.ArrayTypeSignature","112 B (0%)","7 (0%)"
"java.time.LocalTime[]","112 B (0%)","1 (0%)"
"org.hibernate.tuple.InDatabaseValueGenerationStrategy[]","112 B (0%)","3 (0%)"
"jdk.internal.loader.ClassLoaderValue","112 B (0%)","7 (0%)"
"org.hibernate.query.criteria.internal.QueryStructure","112 B (0%)","2 (0%)"
"org.springframework.core.DefaultParameterNameDiscoverer","112 B (0%)","7 (0%)"
"org.hibernate.tuple.InMemoryValueGenerationStrategy[]","112 B (0%)","3 (0%)"
"org.apache.coyote.http11.Http11OutputBuffer","112 B (0%)","2 (0%)"
"org.apache.catalina.connector.Connector","112 B (0%)","1 (0%)"
"org.h2.engine.Setting","112 B (0%)","2 (0%)"
"com.fasterxml.jackson.core.JsonGenerator$Feature[]","112 B (0%)","2 (0%)"
"java.nio.DirectIntBufferRU","112 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.HqlParser","112 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.HqlLexer","112 B (0%)","2 (0%)"
"org.hibernate.internal.SessionFactoryImpl$SessionBuilderImpl","112 B (0%)","2 (0%)"
"org.h2.value.ValueShort","112 B (0%)","7 (0%)"
"org.hibernate.query.criteria.internal.path.SingularAttributePath","112 B (0%)","2 (0%)"
"org.hibernate.property.access.spi.Getter[]","112 B (0%)","3 (0%)"
"com.sun.proxy.$Proxy51","112 B (0%)","7 (0%)"
"com.sun.proxy.$Proxy85","112 B (0%)","7 (0%)"
"org.springframework.core.LocalVariableTableParameterNameDiscoverer","112 B (0%)","7 (0%)"
"org.apache.catalina.core.ApplicationFilterConfig[]","112 B (0%)","2 (0%)"
"org.springframework.expression.spel.support.StandardEvaluationContext","112 B (0%)","2 (0%)"
"org.hibernate.property.access.spi.Setter[]","112 B (0%)","3 (0%)"
"java.util.stream.Collector$Characteristics[]","104 B (0%)","4 (0%)"
"jdk.internal.loader.ClassLoaders$BootClassLoader","104 B (0%)","1 (0%)"
"org.apache.catalina.Container[]","104 B (0%)","5 (0%)"
"sun.security.provider.Sun","104 B (0%)","1 (0%)"
"org.hibernate.hql.internal.ast.tree.DotNode","104 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.DataSourceProperties","104 B (0%)","1 (0%)"
"sun.security.jca.ProviderList$1","104 B (0%)","1 (0%)"
"org.springframework.web.servlet.view.InternalResourceViewResolver","104 B (0%)","1 (0%)"
"sun.util.logging.PlatformLogger$Level[]","104 B (0%)","2 (0%)"
"jdk.internal.loader.ClassLoaders$PlatformClassLoader","104 B (0%)","1 (0%)"
"net.bytebuddy.utility.JavaType[]","104 B (0%)","1 (0%)"
"org.apache.tomcat.util.net.SocketProperties","104 B (0%)","1 (0%)"
"java.lang.Runtime$Version","96 B (0%)","3 (0%)"
"org.springframework.core.Constants","96 B (0%)","4 (0%)"
"org.hibernate.tool.schema.extract.internal.SequenceInformationImpl","96 B (0%)","3 (0%)"
"ch.qos.logback.classic.LoggerContext","96 B (0%)","1 (0%)"
"javax.xml.catalog.CatalogFeatures$Builder","96 B (0%)","6 (0%)"
"com.fasterxml.jackson.databind.deser.BeanDeserializerFactory","96 B (0%)","6 (0%)"
"org.hibernate.MultiTenancyStrategy","96 B (0%)","4 (0%)"
"org.springframework.data.repository.core.support.TransactionalRepositoryProxyPostProcessor$RepositoryAnnotationTransactionAttributeSource","96 B (0%)","3 (0%)"
"java.time.format.FormatStyle","96 B (0%)","4 (0%)"
"java.util.TreeSet","96 B (0%)","6 (0%)"
"org.hibernate.tuple.IdentifierProperty","96 B (0%)","3 (0%)"
"org.hibernate.event.service.internal.PostCommitEventListenerGroupImpl","96 B (0%)","3 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$NameMap","96 B (0%)","3 (0%)"
"java.lang.invoke.SimpleMethodHandle","96 B (0%)","3 (0%)"
"org.hibernate.boot.model.relational.QualifiedSequenceName","96 B (0%)","3 (0%)"
"org.apache.logging.log4j.spi.StandardLevel[]","96 B (0%)","2 (0%)"
"ch.qos.logback.core.subst.Token","96 B (0%)","4 (0%)"
"org.h2.constraint.ConstraintActionType","96 B (0%)","4 (0%)"
"jdk.internal.reflect.UnsafeLongFieldAccessorImpl","96 B (0%)","3 (0%)"
"java.lang.module.ModuleDescriptor$Modifier","96 B (0%)","4 (0%)"
"org.hibernate.query.criteria.internal.predicate.ComparisonPredicate","96 B (0%)","2 (0%)"
"java.time.zone.ZoneOffsetTransitionRule","96 B (0%)","2 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$TaskOption","96 B (0%)","4 (0%)"
"jdk.internal.logger.BootstrapLogger$LoggingBackend","96 B (0%)","4 (0%)"
"org.springframework.boot.logging.LogLevel[]","96 B (0%)","2 (0%)"
"java.util.regex.Pattern$$Lambda$620.0x0000000800e672f0","96 B (0%)","4 (0%)"
"com.zaxxer.hikari.util.UtilityElf$DefaultThreadFactory","96 B (0%)","4 (0%)"
"org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor","96 B (0%)","1 (0%)"
"com.fasterxml.jackson.annotation.JsonProperty$Access","96 B (0%)","4 (0%)"
"org.apache.catalina.authenticator.NonLoginAuthenticator","96 B (0%)","1 (0%)"
"org.hibernate.loader.plan.build.internal.returns.SimpleEntityIdentifierDescriptionImpl","96 B (0%)","6 (0%)"
"org.springframework.expression.spel.ast.CompoundExpression","96 B (0%)","3 (0%)"
"org.hibernate.hql.internal.ast.ErrorTracker","96 B (0%)","4 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping","96 B (0%)","1 (0%)"
"org.apache.catalina.webresources.EmptyResource","96 B (0%)","4 (0%)"
"java.lang.WeakPairMap$Pair$Weak$1","96 B (0%)","3 (0%)"
"org.springframework.orm.jpa.SharedEntityManagerCreator$SharedEntityManagerInvocationHandler","96 B (0%)","3 (0%)"
"java.text.SimpleDateFormat[]","96 B (0%)","3 (0%)"
"ch.qos.logback.core.pattern.parser.Token","96 B (0%)","4 (0%)"
"org.apache.tomcat.util.threads.ThreadPoolExecutor","96 B (0%)","1 (0%)"
"org.springframework.cglib.proxy.MethodProxy$CreateInfo","96 B (0%)","3 (0%)"
"java.time.DayOfWeek[]","96 B (0%)","2 (0%)"
"org.hibernate.engine.OptimisticLockStyle","96 B (0%)","4 (0%)"
"javax.persistence.metamodel.Type$PersistenceType","96 B (0%)","4 (0%)"
"org.h2.mvstore.MVMap$Decision","96 B (0%)","4 (0%)"
"sun.nio.ch.DummySocketImpl","96 B (0%)","3 (0%)"
"net.bytebuddy.description.modifier.Visibility","96 B (0%)","4 (0%)"
"java.util.stream.StreamShape","96 B (0%)","4 (0%)"
"org.hibernate.boot.internal.InFlightMetadataCollectorImpl$TableColumnNameBinding","96 B (0%)","3 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap","96 B (0%)","2 (0%)"
"java.util.concurrent.TimeUnit[]","96 B (0%)","2 (0%)"
"long[][]","96 B (0%)","1 (0%)"
"java.util.concurrent.SynchronousQueue","96 B (0%)","3 (0%)"
"java.util.concurrent.CountDownLatch$Sync","96 B (0%)","3 (0%)"
"com.fasterxml.jackson.core.JsonFactory$Feature","96 B (0%)","4 (0%)"
"org.thymeleaf.standard.expression.StandardExpressionExecutionContext","96 B (0%)","6 (0%)"
"org.thymeleaf.cache.TemplateCacheKey","96 B (0%)","2 (0%)"
"org.hibernate.engine.jdbc.spi.TypeSearchability","96 B (0%)","4 (0%)"
"org.hibernate.internal.FilterHelper","96 B (0%)","3 (0%)"
"org.springframework.web.method.annotation.ModelAttributeMethodProcessor","96 B (0%)","4 (0%)"
"com.fasterxml.jackson.annotation.PropertyAccessor[]","96 B (0%)","2 (0%)"
"org.springframework.http.converter.xml.SourceHttpMessageConverter","96 B (0%)","3 (0%)"
"org.hibernate.dialect.lock.PessimisticReadSelectLockingStrategy","96 B (0%)","3 (0%)"
"org.springframework.core.annotation.AnnotationTypeMappings$Cache","96 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping","96 B (0%)","3 (0%)"
"org.attoparser.config.ParseConfiguration$ElementBalancing","96 B (0%)","4 (0%)"
"org.apache.tomcat.util.http.MimeHeaders","96 B (0%)","4 (0%)"
"org.hibernate.hql.internal.ast.tree.FromElementType","96 B (0%)","2 (0%)"
"org.springframework.cglib.proxy.Enhancer$EnhancerFactoryData","96 B (0%)","3 (0%)"
"org.springframework.core.annotation.TypeMappedAnnotations$IsPresent","96 B (0%)","4 (0%)"
"org.hibernate.stat.internal.StatsNamedContainer","96 B (0%)","6 (0%)"
"org.springframework.web.servlet.resource.DefaultResourceResolverChain","96 B (0%)","4 (0%)"
"org.thymeleaf.spring5.templateresolver.SpringResourceTemplateResolver","96 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentSkipListMap","96 B (0%)","2 (0%)"
"java.util.Vector","96 B (0%)","3 (0%)"
"org.hibernate.cfg.beanvalidation.ValidationMode","96 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap","96 B (0%)","2 (0%)"
"org.apache.tomcat.util.http.ConcurrentDateFormat","96 B (0%)","3 (0%)"
"com.fasterxml.jackson.datatype.jsr310.deser.JSR310StringParsableDeserializer","96 B (0%)","3 (0%)"
"jdk.xml.internal.TransformErrorListener","96 B (0%)","6 (0%)"
"org.springframework.boot.web.error.ErrorAttributeOptions$Include","96 B (0%)","4 (0%)"
"org.springframework.data.repository.core.support.DefaultRepositoryInformation","96 B (0%)","3 (0%)"
"java.util.regex.Pattern$Dollar","96 B (0%)","4 (0%)"
"java.net.Inet6Address$Inet6AddressHolder","96 B (0%)","3 (0%)"
"org.hibernate.cache.spi.access.AccessType","96 B (0%)","4 (0%)"
"org.springframework.data.repository.core.support.QueryExecutorMethodInterceptor","96 B (0%)","3 (0%)"
"org.springframework.context.annotation.ScopedProxyMode","96 B (0%)","4 (0%)"
"org.springframework.web.accept.ContentNegotiationManager","96 B (0%)","4 (0%)"
"jdk.internal.platform.cgroupv1.CgroupV1SubsystemController","96 B (0%)","4 (0%)"
"org.thymeleaf.engine.TemplateModelController$SkipBody","96 B (0%)","4 (0%)"
"javax.management.AttributeList","96 B (0%)","3 (0%)"
"javax.management.openmbean.TabularType","96 B (0%)","2 (0%)"
"org.hibernate.cfg.AnnotatedClassType","96 B (0%)","4 (0%)"
"sun.nio.ch.SocketAdaptor","96 B (0%)","2 (0%)"
"org.springframework.boot.jdbc.DatabaseDriver[]","96 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.type.TypeModifier[]","96 B (0%)","4 (0%)"
"org.springframework.data.geo.Metrics","96 B (0%)","3 (0%)"
"org.h2.jdbc.JdbcLob$State","96 B (0%)","4 (0%)"
"org.apache.tomcat.util.log.UserDataHelper$Config","96 B (0%)","4 (0%)"
"org.springframework.cglib.core.WeakCacheKey","96 B (0%)","3 (0%)"
"com.fasterxml.jackson.annotation.JsonCreator$Mode","96 B (0%)","4 (0%)"
"com.sun.management.internal.GarbageCollectorExtImpl","96 B (0%)","2 (0%)"
"org.springframework.core.$Proxy56","96 B (0%)","6 (0%)"
"javax.persistence.GenerationType","96 B (0%)","4 (0%)"
"org.h2.expression.ExpressionVisitor[]","96 B (0%)","2 (0%)"
"org.hibernate.annotations.OptimisticLockType","96 B (0%)","4 (0%)"
"sun.net.spi.DefaultProxySelector$NonProxyInfo","96 B (0%)","3 (0%)"
"sun.rmi.transport.LiveRef","96 B (0%)","3 (0%)"
"org.hibernate.loader.plan.exec.process.internal.EntityReturnReader","96 B (0%)","6 (0%)"
"org.springframework.transaction.annotation.Propagation[]","96 B (0%)","2 (0%)"
"com.sun.proxy.$Proxy32","96 B (0%)","6 (0%)"
"org.springframework.data.jpa.repository.support.SimpleJpaRepository","96 B (0%)","3 (0%)"
"org.springframework.data.spel.ExtensionAwareEvaluationContextProvider","96 B (0%)","4 (0%)"
"org.springframework.data.repository.core.support.AbstractRepositoryMetadata$$Lambda$414.0x0000000800d98b70","96 B (0%)","6 (0%)"
"org.thymeleaf.standard.processor.StandardNonRemovableAttributeTagProcessor","96 B (0%)","2 (0%)"
"sun.util.locale.BaseLocale[]","96 B (0%)","1 (0%)"
"sun.nio.ch.NioSocketImpl$$Lambda$16.0x0000000800b46228","96 B (0%)","6 (0%)"
"org.springframework.data.repository.util.ReactiveWrappers$ReactiveLibrary","96 B (0%)","4 (0%)"
"java.lang.System$Logger$Level[]","96 B (0%)","2 (0%)"
"org.springframework.dao.support.PersistenceExceptionTranslationInterceptor","96 B (0%)","4 (0%)"
"java.net.Socket$SocketOutputStream","96 B (0%)","4 (0%)"
"org.h2.store.FileLockMethod","96 B (0%)","4 (0%)"
"java.util.regex.Pattern$Qtype","96 B (0%)","4 (0%)"
"org.hibernate.dialect.lock.PessimisticWriteSelectLockingStrategy","96 B (0%)","3 (0%)"
"org.thymeleaf.spring5.expression.SPELVariableExpressionEvaluator$ComputedSpelExpression","96 B (0%)","4 (0%)"
"org.h2.constraint.Constraint$Type","96 B (0%)","4 (0%)"
"org.hibernate.boot.internal.InFlightMetadataCollectorImpl$EntityTableXrefImpl","96 B (0%)","3 (0%)"
"org.apache.logging.log4j.Marker[]","96 B (0%)","4 (0%)"
"java.time.format.DateTimeFormatterBuilder$SettingsParser","96 B (0%)","4 (0%)"
"org.apache.commons.logging.LogAdapter$LogApi","96 B (0%)","4 (0%)"
"org.hibernate.FlushMode","96 B (0%)","4 (0%)"
"org.springframework.boot.autoconfigure.web.ErrorProperties$IncludeStacktrace","96 B (0%)","4 (0%)"
"com.fasterxml.jackson.databind.ser.BeanSerializerFactory","96 B (0%)","6 (0%)"
"org.hibernate.ConnectionReleaseMode","96 B (0%)","4 (0%)"
"java.net.InetSocketAddress","96 B (0%)","6 (0%)"
"java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue","96 B (0%)","3 (0%)"
"org.hibernate.engine.jdbc.internal.FormatStyle","96 B (0%)","3 (0%)"
"org.hibernate.engine.jdbc.env.spi.NameQualifierSupport","96 B (0%)","4 (0%)"
"org.hibernate.bytecode.enhance.spi.interceptor.LazyAttributesMetadata","96 B (0%)","3 (0%)"
"org.apache.tomcat.websocket.server.WsServerContainer","96 B (0%)","1 (0%)"
"org.apache.tomcat.util.net.Acceptor$AcceptorState","96 B (0%)","4 (0%)"
"org.apache.tomcat.util.net.AbstractEndpoint$BindState","96 B (0%)","4 (0%)"
"java.io.FileInputStream","96 B (0%)","3 (0%)"
"org.apache.tomcat.util.http.SameSiteCookies","96 B (0%)","4 (0%)"
"jdk.internal.jimage.ImageReader$SharedImageReader","96 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.MethodGraph$Node$Sort","96 B (0%)","4 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$CommentProcessorWrapper","96 B (0%)","3 (0%)"
"org.hibernate.engine.internal.AbstractEntityEntry$EnumState","96 B (0%)","3 (0%)"
"com.sun.jmx.remote.util.ClassLoaderWithRepository","88 B (0%)","1 (0%)"
"org.springframework.expression.spel.ast.SpelNodeImpl[]","88 B (0%)","4 (0%)"
"sun.nio.ch.ServerSocketChannelImpl","88 B (0%)","1 (0%)"
"org.springframework.boot.ansi.AnsiColor[]","88 B (0%)","1 (0%)"
"org.springframework.jmx.export.annotation.AnnotationMBeanExporter","88 B (0%)","1 (0%)"
"org.thymeleaf.DialectSetConfiguration","88 B (0%)","1 (0%)"
"org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean","88 B (0%)","1 (0%)"
"org.hibernate.boot.internal.MetadataImpl","88 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.JpaQueryMethod","88 B (0%)","1 (0%)"
"org.hibernate.boot.registry.classloading.internal.AggregatedClassLoader","88 B (0%)","1 (0%)"
"org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo","88 B (0%)","1 (0%)"
"org.springframework.context.annotation.ComponentScan$Filter[]","88 B (0%)","5 (0%)"
"java.nio.file.attribute.PosixFilePermission[]","88 B (0%)","2 (0%)"
"org.thymeleaf.spring5.view.ThymeleafViewResolver","88 B (0%)","1 (0%)"
"java.rmi.server.Operation[]","88 B (0%)","3 (0%)"
"net.bytebuddy.matcher.ModifierMatcher$Mode[]","88 B (0%)","1 (0%)"
"sun.reflect.misc.MethodUtil","88 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.ServerProperties$Tomcat","88 B (0%)","1 (0%)"
"org.apache.coyote.AsyncStateMachine","80 B (0%)","2 (0%)"
"org.springframework.core.convert.support.NumberToNumberConverterFactory","80 B (0%)","5 (0%)"
"java.net.InetAddress$CachedAddresses","80 B (0%)","2 (0%)"
"org.thymeleaf.standard.processor.StandardAttrTagProcessor","80 B (0%)","2 (0%)"
"javax.websocket.CloseReason$CloseCodes[]","80 B (0%)","1 (0%)"
"sun.security.jca.ProviderConfig[]","80 B (0%)","2 (0%)"
"org.springframework.beans.propertyeditors.CustomBooleanEditor","80 B (0%)","2 (0%)"
"org.thymeleaf.standard.processor.StandardIncludeTagProcessor","80 B (0%)","2 (0%)"
"antlr.LexerSharedInputState","80 B (0%)","2 (0%)"
"org.springframework.core.convert.support.ZoneIdToTimeZoneConverter","80 B (0%)","5 (0%)"
"org.apache.coyote.http11.filters.IdentityInputFilter","80 B (0%)","2 (0%)"
"org.springframework.core.convert.support.StringToUUIDConverter","80 B (0%)","5 (0%)"
"org.apache.tomcat.util.buf.Utf8Decoder","80 B (0%)","2 (0%)"
"org.springframework.core.convert.support.StringToCharacterConverter","80 B (0%)","5 (0%)"
"com.fasterxml.jackson.datatype.jsr310.JavaTimeModule$1","80 B (0%)","5 (0%)"
"org.apache.coyote.RequestGroupInfo","80 B (0%)","1 (0%)"
"org.springframework.core.convert.support.EnumToIntegerConverter","80 B (0%)","5 (0%)"
"org.apache.catalina.startup.Tomcat$SimpleRealm","80 B (0%)","1 (0%)"
"java.io.StringReader","80 B (0%)","2 (0%)"
"org.springframework.expression.spel.support.ReflectivePropertyAccessor","80 B (0%)","2 (0%)"
"org.springframework.web.servlet.handler.SimpleUrlHandlerMapping","80 B (0%)","1 (0%)"
"org.springframework.core.convert.support.CharacterToNumberFactory","80 B (0%)","5 (0%)"
"org.springframework.core.convert.support.StringToCollectionConverter","80 B (0%)","5 (0%)"
"org.hibernate.boot.internal.BootstrapContextImpl","80 B (0%)","1 (0%)"
"org.apache.tomcat.util.http.ServerCookie","80 B (0%)","2 (0%)"
"org.springframework.context.event.SimpleApplicationEventMulticaster","80 B (0%)","2 (0%)"
"org.thymeleaf.standard.processor.StandardAttrappendTagProcessor","80 B (0%)","2 (0%)"
"org.thymeleaf.cache.StandardCache$CacheDataContainer","80 B (0%)","2 (0%)"
"org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager","80 B (0%)","1 (0%)"
"org.springframework.core.convert.support.ByteBufferConverter","80 B (0%)","5 (0%)"
"org.thymeleaf.spring5.processor.SpringInputRadioFieldTagProcessor","80 B (0%)","1 (0%)"
"org.apache.catalina.webresources.StandardRoot","80 B (0%)","1 (0%)"
"org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping","80 B (0%)","1 (0%)"
"org.hibernate.dialect.H2Dialect","80 B (0%)","1 (0%)"
"java.lang.VirtualMachineError","80 B (0%)","2 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping","80 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef2","80 B (0%)","2 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver","80 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.introspect.BasicClassIntrospector","80 B (0%)","5 (0%)"
"org.springframework.boot.SpringApplication","80 B (0%)","1 (0%)"
"org.springframework.transaction.annotation.Isolation[]","80 B (0%)","2 (0%)"
"java.util.Locale$Category","80 B (0%)","2 (0%)"
"org.springframework.core.convert.support.StringToCharsetConverter","80 B (0%)","5 (0%)"
"org.hibernate.resource.jdbc.spi.PhysicalConnectionHandlingMode[]","80 B (0%)","2 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName[]","80 B (0%)","3 (0%)"
"org.springframework.core.convert.support.StringToArrayConverter","80 B (0%)","5 (0%)"
"org.springframework.core.convert.support.NumberToCharacterConverter","80 B (0%)","5 (0%)"
"org.springframework.core.convert.support.ObjectToArrayConverter","80 B (0%)","5 (0%)"
"org.springframework.core.convert.support.CollectionToCollectionConverter","80 B (0%)","5 (0%)"
"org.springframework.core.convert.support.StringToLocaleConverter","80 B (0%)","5 (0%)"
"java.util.concurrent.LinkedBlockingDeque","80 B (0%)","2 (0%)"
"org.springframework.core.convert.support.StreamConverter","80 B (0%)","5 (0%)"
"org.thymeleaf.spring5.processor.SpringSelectFieldTagProcessor","80 B (0%)","1 (0%)"
"java.util.regex.Pattern$Loop","80 B (0%)","2 (0%)"
"java.time.zone.ZoneRules","80 B (0%)","2 (0%)"
"org.apache.catalina.core.StandardService","80 B (0%)","1 (0%)"
"java.util.stream.StreamOpFlag$Type[]","80 B (0%)","2 (0%)"
